Work Item ID,Issue Type,Summary,Description,Component,Priority,Labels,Story Points,Parent,Status,Assignee,Sprint,Due Date,Reporter,Created Date,Updated Date
WAYUU-70,Task,Desarrollar contexto conversacional wayuu,Base de conocimiento para conversaciones culturalmente apropiadas,AI,High,conversational;context;cultural,13,WAYUU-23,To Do,Fredy Gallego,Sprint 14,2025-07-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-71,Task,Implementar memory system para conversaciones,Sistema de memoria para conversaciones coherentes,AI,Medium,memory;conversation;coherence,8,WAYUU-23,To Do,Fredy Gallego,Sprint 14,2025-08-01,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-72,Task,Algoritmo de generación de ejercicios adaptativos,Sistema que crea ejercicios según debilidades del usuario,AI,Medium,adaptive;exercises;algorithm,13,,To Do,Fredy Gallego,Sprint 15,2025-08-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-73,Task,Sistema de dificultad progresiva inteligente,IA que ajusta dificultad basada en performance del usuario,AI,Medium,difficulty;progressive;intelligent,8,,To Do,Fredy Gallego,Sprint 15,2025-08-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-74,Task,Implementar análisis de espectrogramas,Análisis automático de patrones fonéticos wayuu,AI,Medium,spectrograms;phonetic;analysis,8,WAYUU-25,To Do,Fredy Gallego,Sprint 16,2025-08-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-75,Task,Sistema de feedback de pronunciación,Feedback detallado para mejorar pronunciación wayuu,AI,Medium,pronunciation;feedback;improvement,5,WAYUU-25,To Do,Fredy Gallego,Sprint 16,2025-08-31,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-76,Task,Diseño de microservicios por dominio,Separación de servicios por funcionalidad (translation audio education),Infrastructure,Medium,microservices;domain;design,8,WAYUU-26,To Do,Fredy Gallego,Sprint 17,2025-09-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-77,Task,Implementar API Gateway con rate limiting,Gateway central con autenticación y rate limiting,Infrastructure,Medium,gateway;api;ratelimiting,8,WAYUU-26,To Do,Fredy Gallego,Sprint 17,2025-09-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-78,Task,Sistema de service discovery,Consul o similar para descubrimiento de servicios,Infrastructure,Medium,discovery;services;consul,5,WAYUU-26,To Do,Fredy Gallego,Sprint 17,2025-09-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-79,Task,Dockerización de todos los servicios,Containers optimizados para cada microservicio,Infrastructure,Medium,docker;containers;optimization,8,WAYUU-27,To Do,Fredy Gallego,Sprint 18,2025-09-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-80,Task,Kubernetes deployment con Helm charts,Orquestación completa con Kubernetes,Infrastructure,Medium,kubernetes;helm;deployment,13,WAYUU-27,To Do,Fredy Gallego,Sprint 18,2025-10-01,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-81,Task,Implementar distributed tracing con Jaeger,Tracing distribuido para debugging de microservicios,Infrastructure,Medium,tracing;jaeger;debugging,8,,To Do,Fredy Gallego,Sprint 19,2025-10-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-82,Task,Dashboard de observabilidad completo,Métricas unificadas de todos los microservicios,Infrastructure,Medium,dashboard;observability;unified,5,,To Do,Fredy Gallego,Sprint 19,2025-10-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-83,Task,Autenticación OAuth con múltiples proveedores,Google GitHub Twitter Facebook para registro fácil,Community,Medium,oauth;providers;registration,8,,To Do,Fredy Gallego,Sprint 21,2025-11-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-84,Task,Sistema de roles y permisos granulares,Roles diferenciados: estudiante educador revisor admin,Community,Medium,roles;permissions;granular,8,,To Do,Fredy Gallego,Sprint 21,2025-11-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-85,Task,Perfiles de usuario personalizables,Perfiles detallados con historial de aprendizaje,Community,Medium,profiles;customizable;history,5,,To Do,Fredy Gallego,Sprint 21,2025-11-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-86,Task,Interface de contribución de traducciones,Sistema para que usuarios contribuyan nuevas traducciones,Community,Medium,contributions;translations;interface,13,WAYUU-30,To Do,Fredy Gallego,Sprint 22,2025-11-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-87,Task,Sistema de peer review para contribuciones,Review comunitario con voting y consenso,Community,Medium,peer-review;voting;consensus,13,WAYUU-30,To Do,Fredy Gallego,Sprint 22,2025-12-01,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-88,Task,Sistema de reputación y badges comunitarios,Gamificación para incentivar contribuciones de calidad,Community,Medium,reputation;badges;incentives,8,WAYUU-30,To Do,Fredy Gallego,Sprint 22,2025-12-01,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-89,Task,Documentación OpenAPI completa,Documentación exhaustiva con ejemplos y SDKs,API,Medium,documentation;openapi;sdk,8,WAYUU-31,To Do,Fredy Gallego,Sprint 23,2025-12-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-90,Task,Sistema de API keys y rate limiting,Gestión de desarrolladores con límites de uso,API,Medium,api-keys;rate-limiting;management,8,WAYUU-31,To Do,Fredy Gallego,Sprint 23,2025-12-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-91,Task,Developer portal con analytics,Portal para desarrolladores con métricas de uso,API,Medium,portal;developers;analytics,5,WAYUU-31,To Do,Fredy Gallego,Sprint 23,2025-12-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-92,Task,Implementar sistema de threads y comentarios,Discusiones organizadas por temas y categorías,Community,Medium,threads;comments;categories,8,,To Do,Fredy Gallego,Sprint 24,2025-12-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-93,Task,Moderación automática con IA,Sistema de moderación con detección de contenido inapropiado,Community,Medium,moderation;ai;content-filtering,5,,To Do,Fredy Gallego,Sprint 24,2025-12-31,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-94,Task,Implementar Redis Cluster para cache distribuido,Cache distribuido con alta disponibilidad,Performance,Medium,redis;cluster;distributed,8,WAYUU-33,To Do,Fredy Gallego,Sprint 25,2025-01-08,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-95,Task,Cache inteligente con predicción de uso,Algoritmos ML para predecir y pre-cargar contenido,Performance,Medium,cache;prediction;ml,5,WAYUU-33,To Do,Fredy Gallego,Sprint 25,2025-01-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-96,Task,Implementar data warehouse con ClickHouse,Sistema de analytics con capacidades OLAP,Analytics,Medium,warehouse;clickhouse;olap,13,WAYUU-34,To Do,Fredy Gallego,Sprint 26,2025-01-20,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-97,Task,Dashboard ejecutivo con métricas de negocio,Métricas empresariales para toma de decisiones,Analytics,Medium,dashboard;executive;business,8,WAYUU-34,To Do,Fredy Gallego,Sprint 26,2025-01-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-98,Task,Configurar proyecto React Native con Expo,Setup inicial con todas las dependencias,Mobile,Low,react-native;expo;setup,8,,To Do,Fredy Gallego,Sprint 27,2025-02-05,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-99,Task,Implementar navegación y UI responsive,Navegación móvil optimizada y componentes adaptivos,Mobile,Low,navigation;ui;responsive,13,,To Do,Fredy Gallego,Sprint 27,2025-02-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-100,Task,Integrar funcionalidades offline,Capacidades offline con sincronización automática,Mobile,Low,offline;sync;storage,13,,To Do,Fredy Gallego,Sprint 28,2025-02-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-101,Task,Implementar OCR para texto wayuu,Cámara que puede leer y traducir texto wayuu,Mobile,Low,ocr;camera;text-recognition,13,WAYUU-36,To Do,Fredy Gallego,Sprint 29,2025-02-20,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-102,Task,Gestos y interactions móviles,Gestos específicos para aprendizaje móvil,Mobile,Low,gestures;interactions;mobile,8,WAYUU-36,To Do,Fredy Gallego,Sprint 29,2025-02-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-103,Task,Desarrollar experiencias AR con WebXR,Realidad aumentada en web para visualizar cultura wayuu,Research,Low,ar;webxr;cultural,13,,To Do,Fredy Gallego,Sprint 31,2025-03-10,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-104,Task,Modelos 3D de artefactos culturales wayuu,Visualización 3D de objetos culturales,Research,Low,3d;cultural;artifacts,8,,To Do,Fredy Gallego,Sprint 31,2025-03-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-105,Task,Implementar smart contracts para contenido cultural,Contratos inteligentes para proteger propiedad intelectual wayuu,Research,Low,blockchain;smart-contracts;ip,8,,To Do,Fredy Gallego,Sprint 32,2025-03-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-106,Task,Sistema de certificación de autenticidad,Blockchain para certificar autenticidad del contenido wayuu,Research,Low,certification;authenticity;blockchain,5,,To Do,Fredy Gallego,Sprint 32,2025-03-31,Fredy Gallego,2025-01-03,2025-01-03Story
WAYUU-107,Task,Configurar NestJS con módulos NLLB-200,Integrar decoradores y providers para NLLB-200 en arquitectura NestJS,Backend,High,nestjs;nllb;modules,13,,To Do,Fredy Gallego,Sprint 3,2025-02-15,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-108,Task,Implementar Redis como cache layer en NestJS,Cache distribuido con Redis para traducciones NLLB-200,Backend,High,nestjs;redis;cache,8,,To Do,Fredy Gallego,Sprint 3,2025-02-18,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-109,Task,Crear NestJS Guards para rate limiting con Redis,Sistema de rate limiting distribuido usando Redis,Backend,Medium,nestjs;redis;guards;rate-limiting,5,,To Do,Fredy Gallego,Sprint 4,2025-02-25,Fredy Gallego,2025-01-03,2025-01-03
WAYUU-110,Task,NestJS Interceptors para métricas NLLB-200,Interceptors para tracking de performance de traducciones,Backend,Medium,nestjs;interceptors;metrics,5,,To Do,Fredy Gallego,Sprint 4,2025-02-28,Fredy Gallego,2025-01-03,2025-01-03
